"","long","lat"
"V.460",-142.753170277023,-36.1505554465713
"V.461",-142.734797068156,-37.1623147834198
"V.462",-142.715686198858,-38.1705292520892
"V.463",-142.695796687995,-39.1753217959843
"V.464",-142.675155856323,-40.1767846226591
"V.465",-142.653545137789,-41.1750440906132
"V.466",-142.631142117312,-42.1702094828732
"V.467",-142.606580757056,-43.1618368371432
"V.468",-142.582292604368,-44.1499637194635
"V.469",-142.556788678007,-45.1354234129129
"V.470",-142.530219242136,-46.1183866722207
"V.471",-142.50228376843,-47.0990447426836
"V.472",-142.473118860674,-48.0775376431797
"V.473",-142.442396669788,-49.0540702793839
"V.474",-142.410253799554,-50.0287997456473
"V.475",-142.37637606127,-51.0019343627394
"V.476",-142.340859077586,-51.9736448853896
"V.477",-142.303293037151,-52.9441088985163
"V.478",-142.2637189211,-53.9135210625108
"V.479",-142.221808880353,-54.8820657924807
"V.480",-142.177508273396,-55.8499070129661
"V.481",-142.13048925115,-56.8172564598312
"V.482",-142.08053324756,-57.7842951330891
"V.483",-142.027421696574,-58.7512245233203
"V.484",-141.970785767977,-59.7181948946866
"V.485",-141.910297612687,-60.6854316434304
"V.486",-141.845465457085,-61.6530850337136
"V.487",-141.775961452091,-62.6213941221572
"V.488",-141.701047937274,-63.590481852166
"V.489",-141.620328761663,-64.5605599596046
"V.490",-141.532765736504,-65.5318060293913
"V.491",-141.437921729689,-66.5044113068228
"V.492",-141.334417043007,-67.4785260560608
"V.493",-141.221418393378,-68.4543278620239
"V.494",-141.09705430897,-69.4320079700087
"V.495",-140.96004071422,-70.411716644177
"V.496",-140.80787775989,-71.3936041486905
"V.497",-140.638338804312,-72.377820747711
"V.498",-140.447831167982,-73.364509875211
"V.499",-140.235712813118,-74.3545457954043
"V.500",-139.99055000305,-75.3477987346968
"V.501",-139.708913982814,-76.3438110704139
"V.502",-139.381379091355,-77.342637444069
"V.503",-138.996361327841,-78.3442778556622
"V.504",-138.537099408049,-79.3486844938693
"V.505",-137.979906235938,-80.3557753964202
"V.506",-137.289961507119,-81.3653456576398
"V.507",-136.415560689573,-82.3772245227988
"V.508",-135.266668229664,-83.3905445578727
"V.509",-133.695806682831,-84.4038167816225
"V.510",-131.423416406346,-85.4145618353793
"V.511",-127.860256980512,-86.4174453414014
"V.512",-121.550009130878,-87.3989435251323
"V.513",-107.999979327083,-88.3143732890215
"V.514",-71.99999198567,-88.961082920395
"V.515",-106.892149964463,26.8818248183239
"V.516",-106.215961236632,26.0331174648892
"V.517",-105.550700811473,25.1832199509915
"V.518",-104.896314047472,24.3329501917842
"V.519",-104.252527737064,23.4827760552252
"V.520",-103.618959389653,22.6330305130366
"V.521",-102.995226514648,21.7839218859881
"V.522",-102.38081001767,20.9356772778696
"V.523",-101.775190804343,20.088709915126
"V.524",-101.178368874668,19.2429224675614
"V.525",-100.589579247456,18.3983593314056
