"","long","lat"
"V.293",-69.666307591573,-31.356373951153
"V.294",-69.602868794562,-33.4206381183439
"V.295",-69.534102449998,-35.470309586373
"V.296",-69.460582293772,-37.5051663740924
"V.297",-69.381160854104,-39.5262295947829
"V.298",-69.294936546021,-41.5342403239696
"V.299",-69.199286576885,-43.529085863531
"V.300",-69.097380154468,-45.5116029116406
"V.301",-68.985802184187,-47.4844176760341
"V.302",-68.863022703666,-49.4488313077485
"V.303",-68.727511750533,-51.4063669389688
"V.304",-68.577165626523,-53.3583325509209
"V.305",-68.409279576724,-55.3062307852222
"V.306",-68.220711714118,-57.2514823212202
"V.307",-68.007527849744,-59.1956102910997
"V.308",-67.764564360588,-61.1399260911814
"V.309",-67.485154982021,-63.0859016272314
"V.310",-67.160365826609,-65.0348687861378
"V.311",-66.778421648222,-66.9881457944106
"V.312",-66.323011955122,-68.9468459728843
"V.313",-65.770476972025,-70.9120484914479
"V.314",-65.086283262486,-72.8844910105317
"V.315",-64.22300199291,-74.8662020963192
"V.316",-63.084081609189,-76.8560274468407
"V.317",-61.526497950102,-78.8515013638057
"V.318",-59.272726769295,-80.8484574318207
"V.319",-55.740426138131,-82.8376817256952
"V.320",-49.475148253992,-84.7922154887752
"V.321",-35.9999773235,-86.62368290339
"V.322",6.18773414159689e-05,-87.9243421666571
"V.323",-33.725524329886,29.2783811037305
"V.324",-31.54967194713,27.7748976655124
"V.325",-30.220161964809,26.0377158897479
"V.326",-28.9325893439910,24.2994412837161
"V.327",-27.684413254306,22.5635128476642
"V.328",-26.471754148306,20.8318071760667
"V.329",-25.291907271078,19.1051490142658
"V.330",-24.140392018527,17.3842401641988
"V.331",-23.013246880935,15.6703664089769
"V.332",-21.9075485373360,13.9626090881567
"V.333",-20.822450044275,12.2607479281375
"V.334",-19.752596533441,10.5642749335999
"V.335",-18.695173966896,8.87237475071154
"V.336",-17.647231702919,7.18469562473028
"V.337",-16.6062015903830,5.50054599900261
"V.338",-15.5692422705910,3.81923517064874
"V.339",-14.533894875444,2.13987500163313
"V.340",-13.4974000085160,0.461917049109794
"V.341",-12.457462726247,-1.21544646351234
"V.342",-11.4112416699410,-2.89285789418038
"V.343",-10.3562779714970,-4.5711809416592
"V.344",-9.28975759297799,-6.2509084467861
"V.345",-8.209303628552,-7.93264915017086
"V.346",-7.11174687044502,-9.6168517098646
"V.347",-5.99509290341803,-11.3060275010477
"V.348",-4.85529825548298,-12.9981727169725
"V.349",-3.68831945465098,-14.6933846878347
"V.350",-2.49210744417201,-16.3912706777569
"V.351",-1.26395746913300,-18.0919826584482
"V.352",1.00179129844946e-05,-19.7936884316637
"V.353",1.30256851458362,-21.4948051010633
"V.354",2.64576704977529,-23.1918663456433
"V.355",3.5571985916792,-25.4776796513945
"V.356",4.45030964523842,-27.7748976655124
"V.357",4.56378512744854,-29.875698222121
"V.358",4.68582481310421,-31.9657839194691
"V.359",4.81702933196557,-34.042506351706
"V.360",4.95872758271301,-36.1052098206716
"V.361",5.11089352525032,-38.1536620999338
"V.362",5.27582850644096,-40.1886315857745
"V.363",5.45626673638707,-42.2101285234773
"V.364",5.6531618802515,-44.2197067810785
"V.365",5.86573999222392,-46.2173697736726
"V.366",6.09918646654484,-48.2054739165232
"V.367",6.35627307935683,-50.1855081908694
"V.368",6.64109324840683,-52.1585893326406
"V.369",6.95802640561329,-54.125991172117
"V.370",7.3130715915016,-56.089083162227
"V.371",7.71298172872679,-58.0491766992914
"V.372",8.16726700193445,-60.0073987645232
"V.373",8.68702305343126,-61.9647943768655
"V.374",9.2879857852913,-63.9223812345045
"V.375",9.98997811403322,-65.8810540922215
"V.376",10.8210123529905,-67.841229591556
"V.377",11.8187006463752,-69.8028872419403
"V.378",13.0391162859522,-71.765562590511
"V.379",14.5588231309963,-73.7293649202947
"V.380",16.5097522617418,-75.6892877026299
"V.381",19.1013531366346,-77.6391564465068
"V.382",22.6826723279242,-79.5662465095017
"V.383",27.8951755892491,-81.446870795573
"V.384",35.9999975866967,-83.2286485839759
"V.385",49.4751582719044,-84.7922154887752
"V.386",72.0000156639609,-85.8603819428843
"V.387",38.274474485973,29.2783811037305
"V.388",40.4503132083506,27.7748976655124
"V.389",41.7798368510503,26.0377158897479
"V.390",43.0674128869623,24.2994412837161
"V.391",44.3155889766471,22.5635128476642
"V.392",45.5282480826479,20.8318071760667
"V.393",46.7080812994975,19.1051490142658
"V.394",47.8596033822375,17.3842401641988
"V.395",48.9867314443567,15.6703664089769
"V.396",50.0924502785226,13.9626090881567
"V.397",51.1775487715842,12.2607479281375
"V.398",52.2473988673237,10.5642749335999
"V.399",53.3048282640576,8.87237475071154
"V.400",54.3527705280343,7.18469562473028
"V.401",55.3937972254764,5.50054599900261
"V.402",56.4307599603623,3.81923517064874
"V.403",57.4661039404149,2.13987500163313
"V.404",58.5025919771535,0.461917049109794
"V.405",59.542529259423,-1.21544646351234
"V.406",60.5887503157289,-2.89285789418038
"V.407",61.6437208443615,-4.5711809416592
"V.408",62.7102275625023,-6.2509084467861
"V.409",63.7906883571175,-7.93264915017086
"V.410",64.8882451152252,-9.6168517098646
"V.411",66.0048990822522,-11.3060275010477
"V.412",67.1447073905656,-12.9981727169725
"V.413",68.3116861913973,-14.6933846878347
"V.414",69.50787088112,-16.3912706777569
"V.415",70.7360276863475,-18.0919826584482
"V.416",72.0000020035825,-19.7936884316637
"V.417",73.3025668896282,-21.4948051010633
"V.418",74.6457714012354,-23.1918663456433
"V.419",75.557198674271,-25.4776796513945
"V.420",76.4503073799527,-27.7748976655124
"V.421",76.5637841428233,-29.875698222121
"V.422",76.6858259629131,-31.9657839194691
"V.423",76.8170270666799,-34.042506351706
"V.424",76.958726171201,-36.1052098206716
"V.425",77.1108959557197,-38.1536620999338
"V.426",77.2758313637971,-40.1886315857745
"V.427",77.4562644711014,-42.2101285234773
"V.428",77.6531651644945,-44.2197067810785
"V.429",77.8657411420328,-46.2173697736726
"V.430",78.0991901776747,-48.2054739165232
"V.431",78.356278498034,-50.1855081908694
"V.432",78.6410973864235,-52.1585893326406
"V.433",78.9580318242904,-54.125991172117
"V.434",79.3130718875369,-56.089083162227
"V.435",79.7129862936303,-58.0491766992914
"V.436",80.167269005517,-60.0073987645232
"V.437",80.6870259107874,-61.9647943768655
"V.438",81.2879869351002,-63.9223812345045
"V.439",81.9899801176158,-65.8810540922215
"V.440",82.8210160641204,-67.841229591556
"V.441",83.8187017961841,-69.8028872419403
"V.442",85.039119997082,-71.765562590511
"V.443",86.5588234270315,-73.7293649202947
"V.444",88.509757680419,-75.6892877026299
"V.445",91.1013568477644,-77.6391564465068
"V.446",94.6826777466014,-79.5662465095017
"V.447",99.8951844230208,-81.446870795573
"V.448",108.000003005374,-83.2286485839759
"V.449",121.475160275487,-84.7922154887752
"V.450",144.000017667543,-85.8603819428843
"V.451",110.274483319745,29.2783811037305
"V.452",112.450322042122,27.7748976655124
"V.453",113.779845684822,26.0377158897479
"V.454",115.067431966018,24.2994412837161
"V.455",116.315594395324,22.5635128476642
"V.456",117.528267161703,20.8318071760667
"V.457",118.708086718175,19.1051490142658
"V.458",119.859601970725,17.3842401641988
"V.459",120.986747108318,15.6703664089769
"V.460",122.092459112294,13.9626090881567
"V.461",123.177557605356,12.2607479281375
"V.462",124.24741111619,10.5642749335999
"V.463",125.304833682735,8.87237475071154
"V.464",126.352775946711,7.18469562473028
"V.465",127.393806059248,5.50054599900261
"V.466",128.430765379039,3.81923517064874
"V.467",129.466112774187,2.13987500163313
"V.468",130.502607641114,0.461917049109794
"V.469",131.542544923384,-1.21544646351234
"V.470",132.588752319311,-2.89285789418038
"V.471",133.643729678133,-4.5711809416592
"V.472",134.710236396274,-6.2509084467861
"V.473",135.7906903607,-7.93264915017086
"V.474",136.888247118808,-9.6168517098646
"V.475",138.004901085835,-11.3060275010477
"V.476",139.144709394148,-12.9981727169725
"V.477",140.311701855358,-14.6933846878347
"V.478",141.507872884703,-16.3912706777569
"V.479",142.736036520119,-18.0919826584482
"V.480",144.000004007165,-19.7936884316637
"V.481",145.3025757234,-21.4948051010633
"V.482",146.645773404818,-23.1918663456433
"V.483",147.557207508043,-25.4776796513945
"V.484",148.450323043914,-27.7748976655124
"V.485",148.563799806784,-29.875698222121
"V.486",148.685841626874,-31.9657839194691
"V.487",148.817035900452,-34.042506351706
"V.488",148.958748665351,-36.1052098206716
"V.489",149.110897959302,-38.1536620999338
"V.490",149.27583336738,-40.1886315857745
"V.491",149.456273304873,-42.2101285234773
"V.492",149.653173998266,-44.2197067810785
"V.493",149.865743145615,-46.2173697736726
"V.494",150.099199011446,-48.2054739165232
"V.495",150.356287331806,-50.1855081908694
"V.496",150.641106220195,-52.1585893326406
"V.497",150.958040658062,-54.125991172117
"V.498",151.313087551498,-56.089083162227
"V.499",151.712995127402,-58.0491766992914
"V.500",152.1672710091,-60.0073987645232
"V.501",152.687034744559,-61.9647943768655
"V.502",153.287995768872,-63.9223812345045
"V.503",153.989988951387,-65.8810540922215
"V.504",154.821018067703,-67.841229591556
"V.505",155.818717460145,-69.8028872419403
"V.506",157.039122000665,-71.765562590511
"V.507",158.558839090992,-73.7293649202947
"V.508",160.509759684001,-75.6892877026299
"V.509",163.101365681536,-77.6391564465068
"V.510",166.682679750184,-79.5662465095017
"V.511",171.895179596414,-81.446870795573
"V.512",-179.999994991044,-83.2286485839759
"V.513",-166.524837720931,-84.7922154887752
"V.514",-143.999966668496,-85.8603819428843
"V.515",-177.725514676673,29.2783811037305
"V.516",-175.549675954295,27.7748976655124
"V.517",-174.220152311595,26.0377158897479
"V.518",-172.932579690778,24.2994412837161
"V.519",-171.684403601093,22.5635128476642
"V.520",-170.471744495092,20.8318071760667
"V.521",-169.291911278243,19.1051490142658
"V.522",-168.140382365314,17.3842401641988
"V.523",-167.0132508881,15.6703664089769
"V.524",-165.907538884123,13.9626090881567
"V.525",-164.822440391062,12.2607479281375
"V.526",-163.752586880227,10.5642749335999
"V.527",-162.695164313683,8.87237475071154
"V.528",-161.647222049706,7.18469562473028
"V.529",-160.606191937169,5.50054599900261
"V.530",-159.569232617378,3.81923517064874
"V.531",-158.533885222231,2.13987500163313
"V.532",-157.497390355303,0.461917049109794
"V.533",-156.457453073034,-1.21544646351234
"V.534",-155.411245677106,-2.89285789418038
"V.535",-154.356268318284,-4.5711809416592
"V.536",-153.289761600143,-6.2509084467861
"V.537",-152.209293975339,-7.93264915017086
"V.538",-151.11175087761,-9.6168517098646
"V.539",-149.995096910583,-11.3060275010477
"V.540",-148.855274941891,-12.9981727169725
"V.541",-147.688296141059,-14.6933846878347
"V.542",-146.492111451337,-16.3912706777569
"V.543",-145.263961476298,-18.0919826584482
"V.544",-143.999993989252,-19.7936884316637
"V.545",-142.697422273018,-21.4948051010633
"V.546",-141.3542245916,-23.1918663456433
"V.547",-140.442790488375,-25.4776796513945
"V.548",-139.549674952504,-27.7748976655124
"V.549",-139.436198189633,-29.875698222121
"V.550",-139.314156369543,-31.9657839194691
"V.551",-139.182962095966,-34.042506351706
"V.552",-139.041262991445,-36.1052098206716
"V.553",-138.889100037115,-38.1536620999338
"V.554",-138.724164629038,-40.1886315857745
"V.555",-138.543724691544,-42.2101285234773
"V.556",-138.346823998151,-44.2197067810785
"V.557",-138.134254850802,-46.2173697736726
"V.558",-137.900798984971,-48.2054739165232
"V.559",-137.643710664612,-50.1855081908694
"V.560",-137.358891776222,-52.1585893326406
"V.561",-137.041970998734,-54.125991172117
"V.562",-136.68691044492,-56.089083162227
"V.563",-136.287002869016,-58.0491766992914
"V.564",-135.832726987318,-60.0073987645232
"V.565",-135.312963251858,-61.9647943768655
"V.566",-134.712002227546,-63.9223812345045
"V.567",-134.01000904503,-65.8810540922215
"V.568",-133.178979928715,-67.841229591556
"V.569",-132.181280536272,-69.8028872419403
"V.570",-130.960875995753,-71.765562590511
"V.571",-129.441172565803,-73.7293649202947
"V.572",-127.490224652038,-75.6892877026299
"V.573",-124.898632314881,-77.6391564465068
"V.574",-121.317318246234,-79.5662465095017
"V.575",-116.104818400003,-81.446870795573
"V.576",-107.999979327083,-83.2286485839759
"V.577",-94.524835717348,-84.7922154887752
"V.578",-71.999964664913,-85.8603819428843
"V.579",-105.725499012712,29.2783811037305
"V.580",-103.549673950713,27.7748976655124
"V.581",-102.220136647635,26.0377158897479
"V.582",-100.932564026817,24.2994412837161
"V.583",-99.684387937132,22.5635128476642
"V.584",-98.471728831132,20.8318071760667
"V.585",-97.29190927466,19.1051490142658
"V.586",-96.140394022109,17.3842401641988
"V.587",-95.013248884517,15.6703664089769
"V.588",-93.907523220162,13.9626090881567
"V.589",-92.822452047857,12.2607479281375
"V.590",-91.752571216267,10.5642749335999
"V.591",-90.695148649722,8.87237475071154
"V.592",-89.647233706502,7.18469562473028
"V.593",-88.606203593965,5.50054599900261
"V.594",-87.569216953417,3.81923517064874
"V.595",-86.53386955827,2.13987500163313
"V.596",-85.497374691342,0.461917049109794
"V.597",-84.457437409073,-1.21544646351234
"V.598",-83.411243673524,-2.89285789418038
"V.599",-82.356252654323,-4.5711809416592
"V.600",-81.289759596561,-6.2509084467861
"V.601",-80.209305632135,-7.93264915017086
"V.602",-79.111748874027,-9.6168517098646
"V.603",-77.995094907,-11.3060275010477
"V.604",-76.855272938308,-12.9981727169725
"V.605",-75.688294137477,-14.6933846878347
"V.606",-74.492109447754,-16.3912706777569
